vehicle_id,brand,model,year,fuel_type,transmission,body_type,engine_capacity,scraped_at
Chevrolet_Pickup/Dababa_2020_Diesel_Manual_Pickup_2400.0,Chevrolet,Pickup/Dababa,2020,Diesel,Manual,Pickup,2400.0,2026-01-29 23:30:23
BMW_X6 M_2024_Benzine_Automatic_SUV_4400.0,BMW,X6 M,2024,Benzine,Automatic,SUV,4400.0,2026-01-29 23:30:55
Chevrolet_Cruze_2011_Benzine_Automatic_Sedan_1800.0,Chevrolet,Cruze,2011,Benzine,Automatic,Sedan,1800.0,2026-01-29 23:31:23
Mercedes-Benz_GLA 200_2023_Benzine_Automatic_SUV_1300.0,Mercedes-Benz,GLA 200,2023,Benzine,Automatic,SUV,1300.0,2026-01-29 23:31:44
Volkswagen_Golf_1986_Benzine_Manual_Hatchback_1800.0,Volkswagen,Golf,1986,Benzine,Manual,Hatchback,1800.0,2026-01-29 23:31:51
Daewoo_Nubira_1997_Diesel_Automatic_Sedan_nan,Daewoo,Nubira,1997,Diesel,Automatic,Sedan,,2026-01-29 23:32:00
Renault_Scala_2011_Benzine_Automatic_Sedan_1600.0,Renault,Scala,2011,Benzine,Automatic,Sedan,1600.0,2026-01-29 23:32:17
Kia_Sportage_2025_Benzine_Automatic_SUV_1500.0,Kia,Sportage,2025,Benzine,Automatic,SUV,1500.0,2026-01-29 23:32:48
Kia_Shuma_1999_Benzine_Manual_Sedan_1500.0,Kia,Shuma,1999,Benzine,Manual,Sedan,1500.0,2026-01-29 23:33:07
Haval_H6_2024_Benzine_Automatic_SUV_1500.0,Haval,H6,2024,Benzine,Automatic,SUV,1500.0,2026-01-29 23:33:58
Mazda_Familia_1998_Benzine_Automatic_Sedan_nan,Mazda,Familia,1998,Benzine,Automatic,Sedan,,2026-01-29 23:34:27
Toyota_Corolla_1993_Benzine_Automatic_Sedan_1600.0,Toyota,Corolla,1993,Benzine,Automatic,Sedan,1600.0,2026-01-29 23:35:06
Toyota_Land Cruiser_2024_Benzine_Automatic_SUV_4000.0,Toyota,Land Cruiser,2024,Benzine,Automatic,SUV,4000.0,2026-01-29 23:35:25
Ford_Focus_2008_Benzine_Automatic_Sedan_1400.0,Ford,Focus,2008,Benzine,Automatic,Sedan,1400.0,2026-01-29 23:35:35
Renault_Sandero_2013_Benzine_Manual_Hatchback_1600.0,Renault,Sandero,2013,Benzine,Manual,Hatchback,1600.0,2026-01-29 23:35:42
Brilliance_V5_2014_Benzine_Automatic_SUV_nan,Brilliance,V5,2014,Benzine,Automatic,SUV,,2026-01-29 23:35:59
Daewoo_Nubira_2004_Benzine_Automatic_Sedan_nan,Daewoo,Nubira,2004,Benzine,Automatic,Sedan,,2026-01-29 23:36:17
Chery_Tiggo 7 Pro_2022_Benzine_Automatic_Hatchback_1500.0,Chery,Tiggo 7 Pro,2022,Benzine,Automatic,Hatchback,1500.0,2026-01-29 23:36:25
Volkswagen_Beetle_1972_Benzine_Manual_Sedan_1300.0,Volkswagen,Beetle,1972,Benzine,Manual,Sedan,1300.0,2026-01-29 23:36:33
GMC_Terrain_2025_Benzine_Automatic_SUV_1500.0,GMC,Terrain,2025,Benzine,Automatic,SUV,1500.0,2026-01-29 23:36:52
Mercedes-Benz_E300_2016_Benzine_Automatic_Sedan_2000.0,Mercedes-Benz,E300,2016,Benzine,Automatic,Sedan,2000.0,2026-01-29 23:37:03
MINI_Convertible_2011_Benzine_Automatic_Convertible_1600.0,MINI,Convertible,2011,Benzine,Automatic,Convertible,1600.0,2026-01-29 23:37:33
Suzuki_Van_2015_Benzine_Manual_Van / Bus_1400.0,Suzuki,Van,2015,Benzine,Manual,Van / Bus,1400.0,2026-01-29 23:37:49
Audi_A6_2022_Benzine_Automatic_Sedan_2000.0,Audi,A6,2022,Benzine,Automatic,Sedan,2000.0,2026-01-29 23:38:00
Volkswagen_ID4_2024_Electric_Automatic_SUV_nan,Volkswagen,ID4,2024,Electric,Automatic,SUV,,2026-01-29 23:38:15
Peugeot_407_2008_Benzine_Automatic_Sedan_2200.0,Peugeot,407,2008,Benzine,Automatic,Sedan,2200.0,2026-01-29 23:38:41
Hyundai_Excel_1997_Benzine_Manual_Sedan_1400.0,Hyundai,Excel,1997,Benzine,Manual,Sedan,1400.0,2026-01-29 23:39:55
Hyundai_Elantra_2009_Benzine_Manual_Sedan_1600.0,Hyundai,Elantra,2009,Benzine,Manual,Sedan,1600.0,2026-01-29 23:40:14
Kia_Picanto_2006_Benzine_Automatic_Hatchback_1400.0,Kia,Picanto,2006,Benzine,Automatic,Hatchback,1400.0,2026-01-29 23:40:21
Mercedes-Benz_A200_1981_Benzine_Automatic_Sedan_2000.0,Mercedes-Benz,A200,1981,Benzine,Automatic,Sedan,2000.0,2026-01-29 23:40:57
Audi_Q2_2019_Benzine_Automatic_Hatchback_999.0,Audi,Q2,2019,Benzine,Automatic,Hatchback,999.0,2026-01-29 23:41:55
